RUCHE;LoAb;LoVA;LoVB;IC;LoAn;LaAn;LoAp;LaAP;LoFe;LoTi;LoMe;LaMe;LoTp;LoFa;LaBj;LoPl;LaTom;LoLan
Yakro;12,75;0,649136;0,33038297;1,53492017;10,903885;3,85245909;7,55724877;2,10861284;2,81138763;3,29128744;2,41920095;1,32432638;8,52375436;3,33195113;1,96642713;0,19543244;2,08804232;5,45453388
Yakro;12,91666667;0,68733917;0,28502041;1,88384112;11,0570414;3,79930222;7,56668086;2,03467762;3,13631613;3,27839242;2,39240379;1,36486876;8,81066308;3,34619818;1,69627986;0,19910461;2,3179842;7,44377535
Yakro;13,75;0,63858553;0,28550304;1,74689932;10,8277185;3,94583024;7,16637515;2,08400124;3,10508109;3,61967355;2,50170782;1,35812047;9,23831258;3,35648178;1,9539299;0,18569096;2,05523266;7,50122492
Yakro;14,33333333;0,72187091;0,27673027;2,03705553;11,1469312;3,92177098;7,64916064;2,30876389;2,99848703;3,4255443;2,3739814;1,4865062;8,81447002;3,54843662;2,15061546;0,1944185;2,29921724;7,50795998
Yakro;14,58333333;0,59536153;0,32107029;1,44795765;11,11216;3,76718878;7,65275911;2,18070371;3,10072359;3,42640921;2,42163979;1,53380677;8,96771526;3,37334896;2,15763581;0,20364988;2,33328342;5,94489227
Yakro;12,33333333;0,63915516;0,30555896;1,63428068;10,5955611;3,92439183;7,42885894;2,14130877;2,96552403;3,55313674;2,63478573;1,57432154;9,15114913;3,43141303;1,87139331;0,19118613;2,31055343;7,54441553
Yakro;14,08333333;0,59240982;0,29708512;1,55727945;10,9103246;3,8256985;7,13715614;2,20660734;3,07899493;3,39082384;2,33309261;1,35812373;8,81716913;3,35106293;2,08273316;0,18410727;2,29896238;5,84558423
Yakro;12,75;0;0,36787324;0;10,7348849;3,66321549;1,26404787;2,08157934;3,06143894;3,42645325;2,35838305;1,43919143;8,84821131;3,35222669;2,10833424;0,18380921;2,27725004;6,4007975
Yakro;12,33333333;0,64931288;0,27742565;1,82861708;10,683351;3,78930089;7,44911947;2,18859319;2,96552403;3,22889613;2,49291265;1,48648386;8,68514965;3,24903478;1,9321967;0,19780671;1,96599722;5,26825793
Yakro;13,83333333;0,602645;0,3314933;1,41983433;11,0940456;3,95980915;7,78404391;2,13833011;3,27446431;3,51173141;2,44096608;1,29730989;9,23978078;3,45157154;1,9810565;0,20139017;2,2040505;5,68082053
